# 7.010E-01  1.000E-02  X, Z
#    17                 No. of Elements
#     1   9.052E-01     Atomic No., Normalised Abundance
#     2   9.399E-02
#     6   1.882E-04
#     7   4.949E-05
#     8   3.932E-04
#    10   6.234E-05
#    11   1.132E-06
#    12   2.016E-05
#    13   1.568E-06
#    14   1.882E-05
#    16   8.605E-06
#    18   1.759E-06
#    20   1.216E-06
#    24   2.478E-07
#    25   1.300E-07
#    26   1.716E-05
#    28   9.408E-07
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   6.910E+00   1.237E+00  -1.493E+00   2.275E-01  -2.305E+00   4.189E-01
   6.908E+00   1.229E+00  -1.494E+00   2.295E-01  -2.312E+00   4.182E-01
   6.905E+00   1.221E+00  -1.495E+00   2.316E-01  -2.320E+00   4.176E-01
   6.903E+00   1.213E+00  -1.496E+00   2.336E-01  -2.327E+00   4.169E-01
   6.901E+00   1.206E+00  -1.497E+00   2.356E-01  -2.335E+00   4.162E-01
   6.899E+00   1.198E+00  -1.498E+00   2.376E-01  -2.342E+00   4.156E-01
   6.896E+00   1.190E+00  -1.499E+00   2.396E-01  -2.349E+00   4.149E-01
   6.894E+00   1.182E+00  -1.500E+00   2.416E-01  -2.357E+00   4.142E-01
   6.892E+00   1.174E+00  -1.501E+00   2.436E-01  -2.364E+00   4.135E-01
   6.890E+00   1.167E+00  -1.503E+00   2.456E-01  -2.371E+00   4.129E-01
   6.888E+00   1.159E+00  -1.504E+00   2.476E-01  -2.379E+00   4.122E-01
   6.885E+00   1.151E+00  -1.505E+00   2.497E-01  -2.386E+00   4.115E-01
   6.883E+00   1.143E+00  -1.506E+00   2.517E-01  -2.393E+00   4.108E-01
   6.881E+00   1.135E+00  -1.507E+00   2.537E-01  -2.400E+00   4.101E-01
   6.879E+00   1.128E+00  -1.509E+00   2.557E-01  -2.407E+00   4.094E-01
   6.877E+00   1.120E+00  -1.510E+00   2.578E-01  -2.414E+00   4.087E-01
   6.874E+00   1.112E+00  -1.511E+00   2.598E-01  -2.421E+00   4.080E-01
   6.872E+00   1.104E+00  -1.513E+00   2.618E-01  -2.428E+00   4.073E-01
   6.870E+00   1.096E+00  -1.514E+00   2.639E-01  -2.435E+00   4.066E-01
