# 7.010E-01  1.800E-02  X, Z	# 7.010E-01  1.800E-02  X, Z
#    17                 No. of Elements	#    17                 No. of Elements
#     1   9.071E-01     Atomic No., Normalised Abundance	#     1   9.071E-01     Atomic No., Normalised Abundance
#     2   9.157E-02	#     2   9.157E-02
#     6   2.655E-04	#     6   8.362E-06
#     7   7.808E-05	#     7   4.037E-04
#     8   7.183E-04	#     8   6.632E-04
#    10   1.273E-04	#    10   1.175E-04
#    11   2.311E-06	#    11   2.134E-06
#    12   4.116E-05	#    12   3.800E-05
#    13   3.201E-06	#    13   2.956E-06
#    14   3.841E-05	#    14   3.547E-05
#    16   1.757E-05	#    16   1.622E-05
#    18   3.592E-06	#    18   3.316E-06
#    20   2.483E-06	#    20   2.292E-06
#    24   5.059E-07	#    24   4.671E-07
#    25   2.655E-07	#    25   2.451E-07
#    26   3.504E-05	#    26   3.235E-05
#    28   1.921E-06	#    28   1.773E-06
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr	#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.169E+00   1.917E+00  -1.591E+00   1.051E-01  -1.754E+00   3.405E-01	   7.169E+00   1.917E+00  -1.591E+00   9.406E-02  -1.748E+00   3.414E-01
   7.167E+00   1.911E+00  -1.589E+00   1.078E-01  -1.759E+00   3.425E-01	   7.167E+00   1.911E+00  -1.589E+00   9.676E-02  -1.753E+00   3.434E-01
   7.164E+00   1.905E+00  -1.587E+00   1.106E-01  -1.764E+00   3.445E-01	   7.164E+00   1.905E+00  -1.587E+00   9.957E-02  -1.759E+00   3.454E-01
   7.161E+00   1.899E+00  -1.584E+00   1.135E-01  -1.770E+00   3.465E-01	   7.161E+00   1.899E+00  -1.584E+00   1.025E-01  -1.765E+00   3.474E-01
   7.158E+00   1.893E+00  -1.582E+00   1.165E-01  -1.776E+00   3.486E-01	   7.158E+00   1.893E+00  -1.582E+00   1.054E-01  -1.770E+00   3.494E-01
   7.155E+00   1.887E+00  -1.579E+00   1.195E-01  -1.782E+00   3.507E-01	   7.155E+00   1.887E+00  -1.579E+00   1.084E-01  -1.776E+00   3.515E-01
   7.152E+00   1.880E+00  -1.577E+00   1.226E-01  -1.788E+00   3.527E-01	   7.152E+00   1.880E+00  -1.577E+00   1.114E-01  -1.783E+00   3.536E-01
   7.149E+00   1.874E+00  -1.574E+00   1.257E-01  -1.794E+00   3.548E-01	   7.149E+00   1.874E+00  -1.574E+00   1.145E-01  -1.789E+00   3.557E-01
   7.146E+00   1.867E+00  -1.572E+00   1.289E-01  -1.800E+00   3.570E-01	   7.146E+00   1.867E+00  -1.572E+00   1.177E-01  -1.795E+00   3.578E-01
   7.143E+00   1.860E+00  -1.569E+00   1.321E-01  -1.806E+00   3.591E-01	   7.143E+00   1.860E+00  -1.569E+00   1.209E-01  -1.801E+00   3.599E-01
   7.140E+00   1.853E+00  -1.566E+00   1.355E-01  -1.813E+00   3.613E-01	   7.140E+00   1.853E+00  -1.566E+00   1.242E-01  -1.808E+00   3.621E-01
   7.137E+00   1.846E+00  -1.563E+00   1.389E-01  -1.819E+00   3.635E-01	   7.137E+00   1.846E+00  -1.563E+00   1.277E-01  -1.814E+00   3.643E-01
   7.133E+00   1.839E+00  -1.560E+00   1.424E-01  -1.825E+00   3.657E-01	   7.133E+00   1.839E+00  -1.560E+00   1.312E-01  -1.821E+00   3.665E-01
   7.130E+00   1.832E+00  -1.558E+00   1.459E-01  -1.832E+00   3.679E-01	   7.130E+00   1.832E+00  -1.558E+00   1.346E-01  -1.827E+00   3.687E-01
   7.126E+00   1.824E+00  -1.555E+00   1.494E-01  -1.838E+00   3.700E-01	   7.126E+00   1.824E+00  -1.555E+00   1.381E-01  -1.834E+00   3.709E-01
   7.123E+00   1.817E+00  -1.552E+00   1.528E-01  -1.844E+00   3.721E-01	   7.123E+00   1.817E+00  -1.552E+00   1.415E-01  -1.840E+00   3.730E-01
   7.120E+00   1.809E+00  -1.550E+00   1.563E-01  -1.850E+00   3.742E-01	   7.120E+00   1.809E+00  -1.550E+00   1.449E-01  -1.846E+00   3.750E-01
   7.116E+00   1.802E+00  -1.547E+00   1.597E-01  -1.856E+00   3.762E-01	   7.116E+00   1.802E+00  -1.547E+00   1.483E-01  -1.852E+00   3.770E-01
   7.113E+00   1.795E+00  -1.544E+00   1.630E-01  -1.862E+00   3.781E-01	   7.113E+00   1.795E+00  -1.544E+00   1.516E-01  -1.858E+00   3.790E-01
